stop_buffer,entry_trigger,target_mode,n,win_pct,avg_r
2,engulf,nearest_zone,68,33.8235294117647,-0.26116988915142414
2,engulf,fixed25,70,27.142857142857142,-0.3070735063320957
2,engulf,fixed35,70,20.0,-0.36312626722057423
2,engulf,fixed50,70,17.142857142857142,-0.2914226139978507
2,pin,nearest_zone,67,26.865671641791046,-0.35768224913890784
2,pin,fixed25,73,41.0958904109589,0.05296855189691009
2,pin,fixed35,73,27.397260273972602,-0.1400703609196351
2,pin,fixed50,73,21.91780821917808,-0.07531749886428701
2,plain_touch,nearest_zone,291,22.68041237113402,0.5260217591422828
2,plain_touch,fixed25,309,41.42394822006472,1.2007718578212163
2,plain_touch,fixed35,309,31.067961165048544,1.2017945314576155
2,plain_touch,fixed50,309,19.741100323624597,0.8175842650063956
4,engulf,nearest_zone,68,33.8235294117647,-0.3055956792464257
4,engulf,fixed25,70,27.142857142857142,-0.3550529641162117
4,engulf,fixed35,70,20.0,-0.41166533381540654
4,engulf,fixed50,70,17.142857142857142,-0.34901523965628795
4,pin,nearest_zone,67,26.865671641791046,-0.39902338933953774
4,pin,fixed25,73,42.465753424657535,0.029124752836420673
4,pin,fixed35,73,28.767123287671232,-0.13882433715349482
4,pin,fixed50,73,23.28767123287671,-0.06502856729895296
4,plain_touch,nearest_zone,291,24.742268041237114,0.25763726145111066
4,plain_touch,fixed25,309,43.689320388349515,0.7622352008599035
4,plain_touch,fixed35,309,33.65695792880259,0.7621565960445222
4,plain_touch,fixed50,309,22.006472491909385,0.5227423947672978
6,engulf,nearest_zone,68,36.76470588235294,-0.22586938045696425
6,engulf,fixed25,70,31.428571428571427,-0.26751382444546884
6,engulf,fixed35,70,24.285714285714285,-0.2960041740313201
6,engulf,fixed50,70,21.428571428571427,-0.19312744787273095
6,pin,nearest_zone,67,28.35820895522388,-0.34972360013445947
6,pin,fixed25,73,43.83561643835616,0.008706866346441045
6,pin,fixed35,73,30.136986301369863,-0.1450308591747483
6,pin,fixed50,73,24.65753424657534,-0.06829592971727663
6,plain_touch,nearest_zone,291,27.491408934707902,0.2414129839204699
6,plain_touch,fixed25,309,45.954692556634306,0.6033670586671501
6,plain_touch,fixed35,309,36.24595469255664,0.62444931289007
6,plain_touch,fixed50,309,24.271844660194176,0.452106482649285
8,engulf,nearest_zone,68,38.23529411764706,-0.21209213751013217
8,engulf,fixed25,70,34.285714285714285,-0.23212645419616115
8,engulf,fixed35,70,27.142857142857142,-0.25266446835405154
8,engulf,fixed50,70,24.285714285714285,-0.13630826919568861
8,pin,nearest_zone,67,28.35820895522388,-0.379326865785225
8,pin,fixed25,73,43.83561643835616,-0.03499085563509101
8,pin,fixed35,73,30.136986301369863,-0.18847528158476984
8,pin,fixed50,73,24.65753424657534,-0.12096413175100439
8,plain_touch,nearest_zone,291,29.553264604810998,0.20845476134028182
8,plain_touch,fixed25,309,47.896440129449836,0.5287961897107682
8,plain_touch,fixed35,309,37.86407766990291,0.5351734678887418
8,plain_touch,fixed50,309,25.566343042071196,0.37352138139884083
10,engulf,nearest_zone,68,44.11764705882353,-0.1079914432800281
10,engulf,fixed25,70,40.0,-0.11705213351380557
10,engulf,fixed35,70,32.857142857142854,-0.11261457697277062
10,engulf,fixed50,70,30.0,0.04291686937537923
10,pin,nearest_zone,67,31.34328358208955,-0.3432127651246991
10,pin,fixed25,73,46.57534246575342,-0.0016939262701274936
10,pin,fixed35,73,34.24657534246575,-0.10788591119447943
10,pin,fixed50,73,28.767123287671232,-0.015578638980936562
10,plain_touch,nearest_zone,291,32.302405498281786,0.24642283979964236
10,plain_touch,fixed25,309,50.80906148867314,0.534270261137087
10,plain_touch,fixed35,309,39.48220064724919,0.5076669547269577
10,plain_touch,fixed50,309,27.508090614886733,0.37625943447178306
